sampledate,avg_ph,flag_avg_ph
2019-04-16,8.32,
2019-04-17,8.22,
2019-04-18,8.22,
2019-04-19,8.34,
2019-04-20,8.46,
2019-04-21,8.50,
2019-04-22,8.47,
2019-04-23,8.53,
2019-04-24,8.58,
2019-04-25,8.58,
2019-04-26,8.56,
2019-04-27,8.55,
2019-04-28,8.55,
2019-04-29,8.54,
2019-04-30,8.53,
2019-05-01,8.52,
2019-05-02,8.52,
2019-05-03,8.62,
2019-05-04,8.70,
2019-05-05,8.76,
2019-05-06,8.77,
2019-05-07,8.72,
2019-05-08,8.64,
2019-05-09,8.66,
2019-05-10,8.67,
2019-05-11,8.68,
2019-05-12,8.68,
2019-05-13,8.70,
2019-05-14,8.69,
2019-05-15,8.67,
2019-05-16,8.70,
2019-05-17,8.65,
2019-05-18,8.62,
2019-05-19,8.61,
2019-05-20,8.59,
2019-05-21,8.56,
2019-05-22,8.54,
2019-05-23,8.52,
2019-05-24,8.50,
2019-05-25,8.48,
2019-05-26,8.41,
2019-05-27,8.35,
2019-05-28,8.34,
2019-05-29,8.31,
2019-05-30,8.28,
2019-05-31,8.26,
2019-06-01,8.26,
2019-06-02,8.26,
2019-06-03,8.27,
2019-06-04,8.27,
2019-06-05,8.29,
2019-06-06,8.29,
2019-06-07,8.37,
2019-06-08,8.36,
2019-06-09,8.35,
2019-06-10,8.36,
2019-06-11,8.41,
2019-06-12,8.38,
2019-06-13,8.36,
2019-06-14,8.35,
2019-06-15,8.34,
2019-06-16,8.33,
2019-06-17,8.34,
2019-06-18,8.33,
2019-06-19,8.35,
2019-06-20,8.33,
2019-06-21,8.34,
2019-06-22,8.31,
2019-06-23,8.34,
2019-06-24,8.42,
2019-06-25,8.40,
2019-06-26,8.41,
2019-06-27,8.50,
2019-06-28,8.42,
2019-06-29,8.48,
2019-06-30,8.49,
2019-07-01,8.50,
2019-07-02,8.60,
2019-07-03,8.60,
2019-07-04,8.54,
2019-07-05,8.75,
2019-07-06,8.69,
2019-07-07,8.64,
2019-07-08,8.78,
2019-07-09,8.70,
2019-07-10,8.76,
2019-07-11,8.83,
2019-07-12,8.88,
2019-07-13,8.83,
2019-07-14,8.82,
2019-07-15,8.76,
2019-07-16,8.77,
2019-07-17,8.84,
2019-07-18,8.71,
2019-07-19,8.75,
2019-07-20,8.78,
2019-07-21,8.78,
2019-07-22,8.79,
2019-07-23,8.81,
2019-07-24,8.79,
2019-07-25,8.83,
2019-07-26,8.75,
2019-07-27,,C
2019-07-28,8.83,C
2019-07-29,8.85,
2019-07-30,8.90,
2019-07-31,8.99,
2019-08-01,8.99,
2019-08-02,9.00,
2019-08-03,9.01,
2019-08-04,8.95,
2019-08-05,8.98,
2019-08-06,8.92,
2019-08-07,,C
2019-08-08,,C
2019-08-09,8.91,C
2019-08-10,8.96,
2019-08-11,8.88,
2019-08-12,8.91,
2019-08-13,8.91,
2019-08-14,8.87,
2019-08-15,8.78,
2019-08-16,8.65,
2019-08-17,8.71,
2019-08-18,8.70,
2019-08-19,8.79,
2019-08-20,8.85,
2019-08-21,8.81,
2019-08-22,8.83,
2019-08-23,8.79,
2019-08-24,8.73,
2019-08-25,8.71,
2019-08-26,8.66,
2019-08-27,8.63,
2019-08-28,8.61,
2019-08-29,8.62,
2019-08-30,8.68,
2019-08-31,8.68,
2019-09-01,8.77,
2019-09-02,8.88,
2019-09-03,8.77,
2019-09-04,8.76,
2019-09-05,8.77,
2019-09-06,8.72,
2019-09-07,8.75,
2019-09-08,8.73,
2019-09-09,8.69,
2019-09-10,8.73,
2019-09-11,8.78,
2019-09-12,8.77,
2019-09-13,8.72,
2019-09-14,8.76,
2019-09-15,8.79,
2019-09-16,8.90,
2019-09-17,8.79,
2019-09-18,8.77,
2019-09-19,8.96,
2019-09-20,8.95,
2019-09-21,,C
2019-09-22,,C
2019-09-23,,C
2019-09-24,,C
2019-09-25,,C
2019-09-26,,C
2019-09-27,,C
2019-09-28,,C
2019-09-29,,C
2019-09-30,,C
2019-10-01,,C
2019-10-02,,C
2019-10-03,,C
2019-10-04,,C
2019-10-05,,C
2019-10-06,,C
2019-10-07,8.46,C
2019-10-08,8.47,
2019-10-09,8.45,
2019-10-10,8.44,
2019-10-11,8.36,
2019-10-12,8.30,
2019-10-13,8.15,
2019-10-14,8.15,
2019-10-15,8.12,
2019-10-16,8.04,
2019-10-17,8.05,
2019-10-18,8.01,
2019-10-19,7.94,
2019-10-20,7.95,
2019-10-21,7.95,
2019-10-22,8.02,
2019-10-23,8.04,
2019-10-24,8.03,
2019-10-25,8.02,
2019-10-26,8.04,
2019-10-27,8.06,
2019-10-28,8.06,
2019-10-29,8.05,
2019-10-30,8.06,
2019-10-31,8.08,
2019-11-01,8.09,
2019-11-02,8.08,
2020-03-31,,
2020-04-01,7.91,C
2020-04-02,7.78,
2020-04-03,7.76,
2020-04-04,7.73,
2020-04-05,7.81,
2020-04-06,7.81,
2020-04-07,7.80,
2020-04-08,7.81,
2020-04-09,7.80,
2020-04-10,7.82,
2020-04-11,7.85,
2020-04-12,7.84,
2020-04-13,7.81,
2020-04-14,7.80,
2020-04-15,7.81,
2020-04-16,7.82,
2020-04-17,7.84,
2020-04-18,7.83,
2020-04-19,7.88,
2020-04-20,7.89,
2020-04-21,7.88,
2020-04-22,7.91,
2020-04-23,7.94,
2020-04-24,7.48,
2020-04-25,7.00,
2020-04-26,7.00,
2020-04-27,7.00,
2020-04-28,7.00,
2020-04-29,7.00,
2020-04-30,7.00,
2020-05-01,7.74,
2020-05-02,8.50,
2020-05-03,8.51,
2020-05-04,8.53,
2020-05-05,8.53,
2020-05-06,8.58,
2020-05-07,8.60,
2020-05-08,8.60,
2020-05-09,8.61,
2020-05-10,8.58,
2020-05-11,8.58,
2020-05-12,8.60,
2020-05-13,8.64,
2020-05-14,8.61,
2020-05-15,8.66,
2020-05-16,8.60,
2020-05-17,8.55,
2020-05-18,8.54,
2020-05-19,8.53,
2020-05-20,8.49,
2020-05-21,8.46,
2020-05-22,8.35,
2020-05-23,8.27,
2020-05-24,8.23,
2020-05-25,8.21,
2020-05-26,8.20,
2020-05-27,8.17,
2020-05-28,8.18,
2020-05-29,8.21,
2020-05-30,8.20,
2020-05-31,8.22,
2020-06-01,8.23,
2020-06-02,8.23,
2020-06-03,8.24,
2020-06-04,8.27,
2020-06-05,8.28,
2020-06-06,8.31,
2020-06-07,8.34,
2020-06-08,8.36,
2020-06-09,8.36,
2020-06-10,8.34,
2020-06-11,8.36,
2020-06-12,8.36,
2020-06-13,8.34,
2020-06-14,8.35,
2020-06-15,8.36,
2020-06-16,8.38,
2020-06-17,8.44,
2020-06-18,8.45,
2020-06-19,8.58,
2020-06-20,8.63,
2020-06-21,8.69,
2020-06-22,8.73,
2020-06-23,8.73,
2020-06-24,8.73,
2020-06-25,8.71,
2020-06-26,8.65,
2020-06-27,8.65,
2020-06-28,8.66,
2020-06-29,8.60,
2020-06-30,8.59,
2020-07-01,8.65,
2020-07-02,8.85,
2020-07-03,8.94,
2020-07-04,8.96,
2020-07-05,8.98,
2020-07-06,9.00,
2020-07-07,8.96,
2020-07-08,8.90,
2020-07-09,8.90,
2020-07-10,8.83,
2020-07-11,8.81,
2020-07-12,8.76,
2020-07-13,8.80,
2020-07-14,8.70,
2020-07-15,8.70,
2020-07-16,8.69,
2020-07-17,8.74,
2020-07-18,8.68,
2020-07-19,8.68,
2020-07-20,8.71,
2020-07-21,8.69,
2020-07-22,8.68,
2020-07-23,8.70,
2020-07-24,8.73,
2020-07-25,8.71,
2020-07-26,8.63,
2020-07-27,8.59,
2020-07-28,8.60,
2020-07-29,8.79,
2020-07-30,8.89,
2020-07-31,8.83,
2020-08-01,8.86,
2020-08-02,8.84,
2020-08-03,8.75,
2020-08-04,8.75,
2020-08-05,8.69,
2020-08-06,8.69,
2020-08-07,8.68,
2020-08-08,8.69,
2020-08-09,8.72,
2020-08-10,8.69,
2020-08-11,8.72,
2020-08-12,8.82,
2020-08-13,8.74,
2020-08-14,8.77,
2020-08-15,8.79,
2020-08-16,8.78,
2020-08-17,8.80,
2020-08-18,8.77,
2020-08-19,8.73,
2020-08-20,8.71,
2020-08-21,8.69,
2020-08-22,8.69,
2020-08-23,8.71,
2020-08-24,8.76,
2020-08-25,8.73,
2020-08-26,8.74,
2020-08-27,8.73,
2020-08-28,8.72,
2020-08-29,8.66,
2020-08-30,8.68,
2020-08-31,8.62,
2020-09-01,8.59,
2020-09-02,8.55,
2020-09-03,8.53,
2020-09-04,8.53,
2020-09-05,8.57,
2020-09-06,8.50,
2020-09-07,8.48,
2020-09-08,8.43,
2020-09-09,8.39,
2020-09-10,8.37,
2020-09-11,8.40,
2020-09-12,8.44,
2020-09-13,8.45,
2020-09-14,8.54,
2020-09-15,8.47,
2020-09-16,8.58,
2020-09-17,8.62,
2020-09-18,8.63,
2020-09-19,8.63,
2020-09-20,8.60,
2020-09-21,8.61,
2020-09-22,8.69,
2020-09-23,8.82,
2020-09-24,8.78,
2020-09-25,8.69,
2020-09-26,8.72,
2020-09-27,8.75,
2020-09-28,8.69,
2020-09-29,8.68,
2020-09-30,8.65,
2020-10-01,8.65,
2020-10-02,8.61,
2020-10-03,8.52,
2020-10-04,8.52,
2020-10-05,8.51,
2020-10-06,8.49,
2020-10-07,8.50,
2020-10-08,8.56,
2020-10-09,8.45,
2020-10-10,8.54,
2020-10-11,8.45,
2020-10-12,8.40,
2020-10-13,8.35,
2020-10-14,8.39,
2020-10-15,8.27,
2020-10-16,8.25,
2020-10-17,8.30,
2020-10-18,8.18,
2020-10-19,8.18,
2020-10-20,8.25,
2020-10-21,8.26,
2020-10-22,8.08,
2020-10-23,8.22,
2020-10-24,8.25,
2020-10-25,8.32,
2020-10-26,8.33,
2020-10-27,8.25,
2020-10-28,8.20,
2020-10-29,8.22,
2020-10-30,8.32,
2020-10-31,8.37,
2020-11-01,8.39,
2020-11-02,8.46,
2020-11-03,8.55,
2020-11-04,8.63,
2020-11-05,8.77,
2020-11-06,,C
2020-11-07,,C
2020-11-08,,C
2020-11-09,,C
2020-11-10,,C
2020-11-11,,C
2020-11-12,,C
2020-11-13,,C
2020-11-14,,C
2020-11-15,,C
2020-11-16,,C
2020-11-17,,C
2020-11-18,,C
2020-11-19,,C
2020-11-20,,C
2020-11-21,,C
2021-03-26,,C
2021-03-27,,C
2021-03-28,,C
2021-03-29,,C
2021-03-30,,C
2021-03-31,,C
2021-04-01,,C
2021-04-02,,C
2021-04-03,,C
2021-04-04,8.52,C
2021-04-05,8.54,
2021-04-06,8.62,
2021-04-07,8.71,
2021-04-08,8.70,
2021-04-09,8.71,
2021-04-10,8.82,
2021-04-11,8.76,
2021-04-12,8.74,
2021-04-13,8.74,
2021-04-14,8.77,
2021-04-15,8.78,
2021-04-16,8.75,
2021-04-17,8.74,
2021-04-18,8.79,
2021-04-19,8.75,
2021-04-20,8.71,
2021-04-21,8.70,
2021-04-22,8.69,
2021-04-23,8.67,
2021-04-24,8.66,
2021-04-25,8.63,
2021-04-26,8.61,
2021-04-27,8.61,
2021-04-28,8.59,
2021-04-29,8.52,
2021-04-30,8.48,
2021-05-01,8.47,
2021-05-02,8.44,
2021-05-03,8.43,
2021-05-04,8.42,
2021-05-05,8.37,
2021-05-06,8.34,
2021-05-07,8.33,
2021-05-08,8.32,
2021-05-09,8.31,
2021-05-10,8.30,
2021-05-11,8.30,
2021-05-12,8.30,
2021-05-13,8.30,
2021-05-14,8.31,
2021-05-15,8.31,
2021-05-16,8.32,
2021-05-17,8.34,
2021-05-18,8.35,
2021-05-19,8.36,
2021-05-20,8.35,
2021-05-21,8.35,
2021-05-22,8.41,
2021-05-23,8.44,
2021-05-24,8.44,
2021-05-25,8.46,
2021-05-26,8.50,
2021-05-27,8.48,
2021-05-28,8.44,
2021-05-29,8.44,
2021-05-30,8.47,
2021-05-31,8.49,
2021-06-01,8.51,
2021-06-02,8.53,
2021-06-03,8.57,
2021-06-04,8.56,
2021-06-05,8.60,
2021-06-06,8.60,
2021-06-07,8.64,
2021-06-08,8.74,
2021-06-09,8.76,
2021-06-10,8.74,
2021-06-11,8.79,
2021-06-12,8.75,
2021-06-13,8.77,
2021-06-14,8.81,
2021-06-15,8.87,
2021-06-16,8.88,
2021-06-17,8.90,
2021-06-18,8.90,
2021-06-19,8.97,
2021-06-20,8.97,
2021-06-21,8.87,
2021-06-22,8.87,
2021-06-23,8.87,
2021-06-24,8.87,
2021-06-25,8.91,
2021-06-26,8.90,
2021-06-27,8.91,
2021-06-28,8.90,
2021-06-29,8.92,
2021-06-30,8.98,
2021-07-01,8.97,
2021-07-02,8.97,
2021-07-03,8.95,
2021-07-04,8.93,
2021-07-05,8.92,
2021-07-06,8.94,
2021-07-07,8.94,
2021-07-08,8.90,
2021-07-09,8.97,
2021-07-10,9.02,
2021-07-11,9.01,
2021-07-12,9.00,
2021-07-13,9.04,
2021-07-14,9.12,
2021-07-15,9.14,
2021-07-16,9.18,
2021-07-17,9.18,
2021-07-18,9.22,
2021-07-19,9.28,
2021-07-20,9.31,
2021-07-21,9.27,
2021-07-22,9.23,
2021-07-23,9.27,
2021-07-24,9.24,
2021-07-25,9.27,
2021-07-26,9.15,
2021-07-27,9.03,
2021-07-28,9.04,
2021-07-29,9.02,
2021-07-30,9.00,
2021-07-31,8.99,
2021-08-01,8.98,
2021-08-02,8.98,
2021-08-03,9.01,
2021-08-04,9.03,
2021-08-05,9.00,
2021-08-06,8.96,
2021-08-07,8.96,
2021-08-08,8.89,
2021-08-09,8.85,
2021-08-10,8.90,
2021-08-11,8.88,
2021-08-12,8.94,
2021-08-13,8.97,
2021-08-14,8.97,
2021-08-15,8.98,
2021-08-16,8.96,
2021-08-17,8.96,
2021-08-18,8.99,
2021-08-19,8.99,
2021-08-20,9.00,
2021-08-21,8.97,
2021-08-22,8.96,
2021-08-31,8.92,C
2021-09-01,8.85,
2021-09-02,8.88,
2021-09-03,8.83,
2021-09-04,8.78,
2021-09-05,8.79,
2021-09-06,8.84,
2021-09-07,8.83,
2021-09-08,8.79,
2021-09-09,8.83,
2021-09-10,8.89,
2021-09-11,8.89,
2021-09-12,8.90,
2021-09-13,8.84,
2021-09-14,8.79,
2021-09-15,8.82,
2021-09-16,8.82,
2021-09-17,8.84,
2021-09-18,8.86,
2021-09-19,8.86,
2021-09-20,8.85,
2021-09-21,8.84,
2021-09-22,8.82,
2021-09-23,8.80,
2021-09-24,8.76,
2021-09-25,8.73,
2021-09-26,8.75,
2021-09-27,8.79,
2021-09-28,8.84,
2021-09-29,8.82,
2021-09-30,8.83,
2021-10-01,8.87,
2021-10-02,8.96,
2021-10-03,8.96,
2021-10-04,8.92,
2021-10-05,8.89,
2021-10-06,8.79,
2021-10-07,8.78,
2021-10-08,8.81,
2021-10-09,8.82,
2021-10-10,8.71,
2021-10-11,8.72,
2021-10-12,8.69,
2021-10-13,8.66,
2021-10-14,8.63,
2021-10-15,8.65,
2021-10-16,8.60,
2021-10-17,8.59,
2021-10-18,8.63,
2021-10-19,8.57,
2021-10-20,8.59,
2021-10-21,8.57,
2021-10-22,8.55,
2021-10-23,8.53,
2021-10-24,8.45,
2021-10-25,8.44,
2021-10-26,8.43,
2021-10-27,8.33,
2021-10-28,8.22,
2021-10-29,8.20,
2021-10-30,8.17,
2021-10-31,8.19,
2021-11-01,8.24,
2021-11-02,8.12,
2021-11-03,8.08,
2021-11-04,8.07,
2021-11-05,8.17,
2021-11-06,8.19,
2021-11-07,8.18,
2021-11-08,8.18,J
2021-11-09,,J
2021-11-10,8.20,J
2021-11-11,8.20,J
2021-11-12,,J
2021-11-13,,J
2021-11-14,,J
2021-11-15,8.21,J
2021-11-16,8.21,J
2021-11-17,8.22,J
2021-11-18,8.23,J
2021-11-19,8.25,J
2021-11-20,8.26,J
2021-11-21,8.27,J
2021-11-22,,J
2021-11-23,,J
2021-11-24,,J
2021-11-25,,J
2021-11-26,,J
2021-11-27,8.34,J
2021-11-28,8.32,J
2021-11-29,8.34,J
2021-11-30,8.33,J
2021-12-01,8.35,J
2021-12-02,8.36,J
2021-12-03,8.37,J
