lakeid,sampledate,depth,flag,param,value
KE,2019-3-7,0,,DRSIF_SLOH,3.730
KE,2019-3-7,0,,DRP_SLOH,0.049
KE,2019-3-7,0,,NO3NO2_SLOH,0.694
KE,2019-4-18,0,,DRSIF_SLOH,0.860
KE,2019-4-18,0,S,DRP_SLOH,0.000
KE,2019-4-18,0,,NO3NO2_SLOH,0.516
KE,2019-6-25,0,,DRSIF_SLOH,7.690
KE,2019-6-25,0,Q,DRP_SLOH,0.046
KE,2019-6-25,0,,NO3NO2_SLOH,0.047
KE,2019-8-9,0,,DRP_SLOH,0.013
KE,2019-8-9,0,,NO3NO2_SLOH,0.083
KE,2019-9-11,0,,DRSIF_SLOH,10.900
KE,2019-9-11,0,Q,DRP_SLOH,0.022
KE,2019-9-11,0,S,NO3NO2_SLOH,0.000
ME,2019-2-21,20,,DRSIF_SLOH,7.690
ME,2019-2-21,4,,DRSIF_SLOH,4.180
ME,2019-2-21,0,,DRSIF_SLOH,4.740
ME,2019-2-21,20,Q,DRP_SLOH,0.164
ME,2019-2-21,4,Q,DRP_SLOH,0.102
ME,2019-2-21,0,Q,DRP_SLOH,0.178
ME,2019-2-21,16,Q,DRP_SLOH,0.134
ME,2019-2-21,12,Q,DRP_SLOH,0.111
ME,2019-2-21,8,Q,DRP_SLOH,0.103
ME,2019-2-21,20,,NO3NO2_SLOH,1.870
ME,2019-2-21,4,,NO3NO2_SLOH,0.953
ME,2019-2-21,0,,NO3NO2_SLOH,1.120
ME,2019-2-21,16,,NO3NO2_SLOH,1.260
ME,2019-2-21,12,,NO3NO2_SLOH,1.130
ME,2019-2-21,8,,NO3NO2_SLOH,0.973
ME,2019-4-3,0,,DRSIF_SLOH,3.370
ME,2019-4-3,0,,DRP_SLOH,0.098
ME,2019-4-3,0,,NO3NO2_SLOH,1.340
ME,2019-4-15,0,,DRSIF_SLOH,0.579
ME,2019-4-15,4,,DRSIF_SLOH,0.686
ME,2019-4-15,20,,DRSIF_SLOH,0.707
ME,2019-4-15,0,Q,DRP_SLOH,0.064
ME,2019-4-15,4,Q,DRP_SLOH,0.076
ME,2019-4-15,20,Q,DRP_SLOH,0.078
ME,2019-4-15,8,Q,DRP_SLOH,0.077
ME,2019-4-15,12,Q,DRP_SLOH,0.078
ME,2019-4-15,0,,NO3NO2_SLOH,1.320
ME,2019-4-15,4,,NO3NO2_SLOH,1.330
ME,2019-4-15,20,,NO3NO2_SLOH,1.340
ME,2019-4-15,8,,NO3NO2_SLOH,1.310
ME,2019-4-15,12,,NO3NO2_SLOH,1.310
ME,2019-4-29,4,S,DRSIF_SLOH,0.000
ME,2019-4-29,0,S,DRSIF_SLOH,0.000
ME,2019-4-29,4,Q,DRP_SLOH,0.074
ME,2019-4-29,0,Q,DRP_SLOH,0.074
ME,2019-4-29,4,,NO3NO2_SLOH,1.170
ME,2019-4-29,0,,NO3NO2_SLOH,1.180
ME,2019-5-13,0,S,DRSIF_SLOH,0.000
ME,2019-5-13,4,S,DRSIF_SLOH,0.000
ME,2019-5-13,20,S,DRSIF_SLOH,0.000
ME,2019-5-13,0,Q,DRP_SLOH,0.064
ME,2019-5-13,4,Q,DRP_SLOH,0.064
ME,2019-5-13,20,Q,DRP_SLOH,0.073
ME,2019-5-13,0,,NO3NO2_SLOH,1.160
ME,2019-5-13,4,,NO3NO2_SLOH,1.170
ME,2019-5-13,20,,NO3NO2_SLOH,1.140
ME,2019-5-28,0,,DRSIF_SLOH,0.290
ME,2019-5-28,4,,DRSIF_SLOH,0.275
ME,2019-5-28,0,Q,DRP_SLOH,0.085
ME,2019-5-28,4,Q,DRP_SLOH,0.085
ME,2019-5-28,0,,NO3NO2_SLOH,1.080
ME,2019-5-28,4,,NO3NO2_SLOH,1.070
ME,2019-6-11,0,,DRSIF_SLOH,0.622
ME,2019-6-11,4,,DRSIF_SLOH,0.715
ME,2019-6-11,20,,DRSIF_SLOH,1.360
ME,2019-6-11,0,Q,DRP_SLOH,0.063
ME,2019-6-11,4,Q,DRP_SLOH,0.074
ME,2019-6-11,20,Q,DRP_SLOH,0.221
ME,2019-6-11,8,Q,DRP_SLOH,0.069
ME,2019-6-11,10,Q,DRP_SLOH,0.097
ME,2019-6-11,12,Q,DRP_SLOH,0.130
ME,2019-6-11,14,Q,DRP_SLOH,0.134
ME,2019-6-11,16,Q,DRP_SLOH,0.150
ME,2019-6-11,18,Q,DRP_SLOH,0.165
ME,2019-6-11,22,Q,DRP_SLOH,0.274
ME,2019-6-11,0,,NO3NO2_SLOH,1.040
ME,2019-6-11,4,,NO3NO2_SLOH,1.030
ME,2019-6-11,20,,NO3NO2_SLOH,0.774
ME,2019-6-11,8,,NO3NO2_SLOH,1.040
ME,2019-6-11,10,,NO3NO2_SLOH,1.020
ME,2019-6-11,12,,NO3NO2_SLOH,0.974
ME,2019-6-11,14,,NO3NO2_SLOH,0.958
ME,2019-6-11,16,,NO3NO2_SLOH,0.923
ME,2019-6-11,18,,NO3NO2_SLOH,0.921
ME,2019-6-11,22,,NO3NO2_SLOH,0.728
ME,2019-6-24,0,,DRSIF_SLOH,0.869
ME,2019-6-24,4,,DRSIF_SLOH,0.906
ME,2019-6-24,0,Q,DRP_SLOH,0.070
ME,2019-6-24,4,Q,DRP_SLOH,0.079
ME,2019-6-24,0,,NO3NO2_SLOH,0.964
ME,2019-6-24,4,,NO3NO2_SLOH,0.958
ME,2019-7-8,0,,DRSIF_SLOH,1.340
ME,2019-7-8,4,,DRSIF_SLOH,1.310
ME,2019-7-8,20,,DRSIF_SLOH,2.790
ME,2019-7-8,0,Q,DRP_SLOH,0.030
ME,2019-7-8,4,Q,DRP_SLOH,0.039
ME,2019-7-8,8,Q,DRP_SLOH,0.102
ME,2019-7-8,10,Q,DRP_SLOH,0.122
ME,2019-7-8,12,Q,DRP_SLOH,0.171
ME,2019-7-8,14,Q,DRP_SLOH,0.210
ME,2019-7-8,16,Q,DRP_SLOH,0.245
ME,2019-7-8,18,Q,DRP_SLOH,0.283
ME,2019-7-8,20,Q,DRP_SLOH,0.362
ME,2019-7-8,22,Q,DRP_SLOH,0.384
ME,2019-7-8,0,,NO3NO2_SLOH,0.586
ME,2019-7-8,4,,NO3NO2_SLOH,0.701
ME,2019-7-8,8,,NO3NO2_SLOH,0.854
ME,2019-7-8,10,,NO3NO2_SLOH,0.801
ME,2019-7-8,12,,NO3NO2_SLOH,0.745
ME,2019-7-8,14,,NO3NO2_SLOH,0.656
ME,2019-7-8,16,,NO3NO2_SLOH,0.616
ME,2019-7-8,18,,NO3NO2_SLOH,0.487
ME,2019-7-8,20,,NO3NO2_SLOH,0.237
ME,2019-7-8,22,,NO3NO2_SLOH,0.145
ME,2019-7-22,0,,DRSIF_SLOH,2.010
ME,2019-7-22,4,,DRSIF_SLOH,1.980
ME,2019-7-22,0,S,DRP_SLOH,0.000
ME,2019-7-22,4,S,DRP_SLOH,0.000
ME,2019-7-22,0,,NO3NO2_SLOH,0.162
ME,2019-7-22,4,,NO3NO2_SLOH,0.153
ME,2019-8-5,0,,DRSIF_SLOH,1.560
ME,2019-8-5,4,,DRSIF_SLOH,1.590
ME,2019-8-5,20,,DRSIF_SLOH,3.870
ME,2019-8-5,0,Q,DRP_SLOH,0.005
ME,2019-8-5,4,Q,DRP_SLOH,0.005
ME,2019-8-5,20,Q,DRP_SLOH,0.505
ME,2019-8-5,8,Q,DRP_SLOH,0.035
ME,2019-8-5,12,Q,DRP_SLOH,0.226
ME,2019-8-5,14,Q,DRP_SLOH,0.288
ME,2019-8-5,16,Q,DRP_SLOH,0.336
ME,2019-8-5,18,Q,DRP_SLOH,0.415
ME,2019-8-5,22,Q,DRP_SLOH,0.529
ME,2019-8-5,0,S,NO3NO2_SLOH,0.000
ME,2019-8-5,4,S,NO3NO2_SLOH,0.000
ME,2019-8-5,20,S,NO3NO2_SLOH,0.000
ME,2019-8-5,8,,NO3NO2_SLOH,0.199
ME,2019-8-5,12,,NO3NO2_SLOH,0.330
ME,2019-8-5,14,,NO3NO2_SLOH,0.038
ME,2019-8-5,16,S,NO3NO2_SLOH,0.000
ME,2019-8-5,18,S,NO3NO2_SLOH,0.000
ME,2019-8-5,22,S,NO3NO2_SLOH,0.000
ME,2019-8-21,0,,DRSIF_SLOH,2.310
ME,2019-8-21,4,,DRSIF_SLOH,2.140
ME,2019-8-21,0,Q,DRP_SLOH,0.004
ME,2019-8-21,4,S,DRP_SLOH,0.000
ME,2019-8-21,0,S,NO3NO2_SLOH,0.000
ME,2019-8-21,4,S,NO3NO2_SLOH,0.000
ME,2019-9-4,0,,DRSIF_SLOH,2.390
ME,2019-9-4,4,,DRSIF_SLOH,2.390
ME,2019-9-4,20,,DRSIF_SLOH,4.710
ME,2019-9-4,0,Q,DRP_SLOH,0.005
ME,2019-9-4,4,Q,DRP_SLOH,0.005
ME,2019-9-4,20,Q,DRP_SLOH,0.496
ME,2019-9-4,8,Q,DRP_SLOH,0.005
ME,2019-9-4,10,Q,DRP_SLOH,0.005
ME,2019-9-4,12,Q,DRP_SLOH,0.272
ME,2019-9-4,14,Q,DRP_SLOH,0.298
ME,2019-9-4,16,Q,DRP_SLOH,0.425
ME,2019-9-4,18,Q,DRP_SLOH,0.465
ME,2019-9-4,22,Q,DRP_SLOH,0.514
ME,2019-9-4,0,S,NO3NO2_SLOH,0.000
ME,2019-9-4,4,S,NO3NO2_SLOH,0.000
ME,2019-9-4,20,S,NO3NO2_SLOH,0.000
ME,2019-9-4,8,S,NO3NO2_SLOH,0.000
ME,2019-9-4,10,S,NO3NO2_SLOH,0.000
ME,2019-9-4,12,S,NO3NO2_SLOH,0.000
ME,2019-9-4,14,S,NO3NO2_SLOH,0.000
ME,2019-9-4,16,S,NO3NO2_SLOH,0.000
ME,2019-9-4,18,S,NO3NO2_SLOH,0.000
ME,2019-9-4,22,S,NO3NO2_SLOH,0.000
ME,2019-10-4,20,,DRSIF_SLOH,4.980
ME,2019-10-4,4,,DRSIF_SLOH,2.970
ME,2019-10-4,0,,DRSIF_SLOH,2.970
ME,2019-10-4,20,Q,DRP_SLOH,0.522
ME,2019-10-4,4,Q,DRP_SLOH,0.043
ME,2019-10-4,0,Q,DRP_SLOH,0.042
ME,2019-10-4,20,S,NO3NO2_SLOH,0.000
ME,2019-10-4,4,,NO3NO2_SLOH,0.083
ME,2019-10-4,0,,NO3NO2_SLOH,0.075
ME,2019-10-28,20,,DRSIF_SLOH,3.910
ME,2019-10-28,4,,DRSIF_SLOH,3.790
ME,2019-10-28,0,,DRSIF_SLOH,3.980
ME,2019-10-28,20,Q,DRP_SLOH,0.134
ME,2019-10-28,4,Q,DRP_SLOH,0.130
ME,2019-10-28,0,Q,DRP_SLOH,0.141
ME,2019-10-28,20,,NO3NO2_SLOH,0.147
ME,2019-10-28,4,,NO3NO2_SLOH,0.132
ME,2019-10-28,0,,NO3NO2_SLOH,0.141
ME,2019-11-20,0,,DRSIF_SLOH,4.180
ME,2019-11-20,4,,DRSIF_SLOH,4.230
ME,2019-11-20,0,,DRP_SLOH,0.142
ME,2019-11-20,4,,DRP_SLOH,0.141
ME,2019-11-20,0,,NO3NO2_SLOH,0.282
ME,2019-11-20,4,,NO3NO2_SLOH,0.292
ME,2020-2-12,0,,DRSIF_SLOH,2.630
ME,2020-2-12,4,,DRSIF_SLOH,2.270
ME,2020-2-12,0,Q,DRP_SLOH,0.101
ME,2020-2-12,4,Q,DRP_SLOH,0.096
ME,2020-2-12,0,,NO3NO2_SLOH,0.957
ME,2020-2-12,4,,NO3NO2_SLOH,0.931
ME,2020-5-7,0,S,DRSIF_SLOH,0.000
ME,2020-5-7,4,S,DRSIF_SLOH,0.000
ME,2020-5-7,0,Q,DRP_SLOH,0.047
ME,2020-5-7,4,Q,DRP_SLOH,0.059
ME,2020-5-7,0,,NO3NO2_SLOH,1.020
ME,2020-5-7,4,,NO3NO2_SLOH,1.020
ME,2020-5-15,4,,DRSIF_SLOH,0.237
ME,2020-5-15,0,S,DRSIF_SLOH,0.000
ME,2020-5-15,4,,DRP_SLOH,0.064
ME,2020-5-15,0,,DRP_SLOH,0.049
ME,2020-5-15,4,,NO3NO2_SLOH,0.974
ME,2020-5-15,0,,NO3NO2_SLOH,0.911
ME,2020-6-2,0,,DRSIF_SLOH,0.914
ME,2020-6-2,4,,DRSIF_SLOH,0.860
ME,2020-6-2,20,,DRSIF_SLOH,2.060
ME,2020-6-2,0,Q,DRP_SLOH,0.064
ME,2020-6-2,4,Q,DRP_SLOH,0.065
ME,2020-6-2,20,Q,DRP_SLOH,0.170
ME,2020-6-2,0,,NO3NO2_SLOH,0.960
ME,2020-6-2,4,,NO3NO2_SLOH,0.981
ME,2020-6-2,20,,NO3NO2_SLOH,0.637
ME,2020-6-12,0,,DRSIF_SLOH,1.140
ME,2020-6-12,4,,DRSIF_SLOH,1.290
ME,2020-6-12,20,,DRSIF_SLOH,2.280
ME,2020-6-12,0,Q,DRP_SLOH,0.057
ME,2020-6-12,4,Q,DRP_SLOH,0.053
ME,2020-6-12,20,Q,DRP_SLOH,0.159
ME,2020-6-12,0,,NO3NO2_SLOH,0.891
ME,2020-6-12,4,,NO3NO2_SLOH,0.918
ME,2020-6-12,20,,NO3NO2_SLOH,0.660
ME,2020-6-24,0,Q,DRSIF_SLOH,0.637
ME,2020-6-24,4,Q,DRSIF_SLOH,1.890
ME,2020-6-24,16,Q,DRSIF_SLOH,2.720
ME,2020-6-24,20,Q,DRSIF_SLOH,3.810
ME,2020-6-24,0,Q,DRP_SLOH,0.008
ME,2020-6-24,4,Q,DRP_SLOH,0.026
ME,2020-6-24,16,Q,DRP_SLOH,0.161
ME,2020-6-24,20,Q,DRP_SLOH,0.225
ME,2020-6-24,0,S,NO3NO2_SLOH,0.000
ME,2020-6-24,4,,NO3NO2_SLOH,0.510
ME,2020-6-24,16,,NO3NO2_SLOH,0.535
ME,2020-6-24,20,,NO3NO2_SLOH,0.101
ME,2020-7-8,16,,DRSIF_SLOH,1.950
ME,2020-7-8,20,,DRSIF_SLOH,2.900
ME,2020-7-8,0,,DRSIF_SLOH,1.180
ME,2020-7-8,4,,DRSIF_SLOH,1.160
ME,2020-7-8,16,Q,DRP_SLOH,0.114
ME,2020-7-8,20,Q,DRP_SLOH,0.195
ME,2020-7-8,0,Q,DRP_SLOH,0.009
ME,2020-7-8,4,Q,DRP_SLOH,0.017
ME,2020-7-8,16,,NO3NO2_SLOH,0.718
ME,2020-7-8,20,,NO3NO2_SLOH,0.543
ME,2020-7-8,0,,NO3NO2_SLOH,0.656
ME,2020-7-8,4,,NO3NO2_SLOH,0.683
ME,2020-7-22,16,,DRSIF_SLOH,3.290
ME,2020-7-22,20,,DRSIF_SLOH,4.270
ME,2020-7-22,0,,DRSIF_SLOH,1.510
ME,2020-7-22,4,,DRSIF_SLOH,1.470
ME,2020-7-22,16,Q,DRP_SLOH,0.253
ME,2020-7-22,20,Q,DRP_SLOH,0.322
ME,2020-7-22,0,S,DRP_SLOH,0.000
ME,2020-7-22,4,S,DRP_SLOH,0.000
ME,2020-7-22,16,,NO3NO2_SLOH,0.112
ME,2020-7-22,20,S,NO3NO2_SLOH,0.000
ME,2020-7-22,0,S,NO3NO2_SLOH,0.000
ME,2020-7-22,4,S,NO3NO2_SLOH,0.000
ME,2020-8-6,0,,DRSIF_SLOH,1.920
ME,2020-8-6,4,,DRSIF_SLOH,1.860
ME,2020-8-6,16,,DRSIF_SLOH,3.380
ME,2020-8-6,20,,DRSIF_SLOH,4.510
ME,2020-8-6,0,Q,DRP_SLOH,0.007
ME,2020-8-6,4,Q,DRP_SLOH,0.006
ME,2020-8-6,16,Q,DRP_SLOH,0.248
ME,2020-8-6,20,Q,DRP_SLOH,0.343
ME,2020-8-6,0,S,NO3NO2_SLOH,0.000
ME,2020-8-6,4,S,NO3NO2_SLOH,0.000
ME,2020-8-6,16,S,NO3NO2_SLOH,0.000
ME,2020-8-6,20,S,NO3NO2_SLOH,0.000
ME,2020-8-20,0,,DRSIF_SLOH,2.190
ME,2020-8-20,4,,DRSIF_SLOH,2.100
ME,2020-8-20,16,,DRSIF_SLOH,3.470
ME,2020-8-20,20,,DRSIF_SLOH,4.700
ME,2020-8-20,0,S,DRP_SLOH,0.000
ME,2020-8-20,4,Q,DRP_SLOH,0.006
ME,2020-8-20,16,Q,DRP_SLOH,0.251
ME,2020-8-20,20,Q,DRP_SLOH,0.360
ME,2020-8-20,0,S,NO3NO2_SLOH,0.000
ME,2020-8-20,4,S,NO3NO2_SLOH,0.000
ME,2020-8-20,16,S,NO3NO2_SLOH,0.000
ME,2020-8-20,20,S,NO3NO2_SLOH,0.000
ME,2020-9-2,0,,DRSIF_SLOH,2.460
ME,2020-9-2,4,,DRSIF_SLOH,2.460
ME,2020-9-2,16,,DRSIF_SLOH,4.020
ME,2020-9-2,20,,DRSIF_SLOH,5.240
ME,2020-9-2,0,Q,DRP_SLOH,0.007
ME,2020-9-2,4,Q,DRP_SLOH,0.006
ME,2020-9-2,16,Q,DRP_SLOH,0.287
ME,2020-9-2,20,Q,DRP_SLOH,0.400
ME,2020-9-2,0,S,NO3NO2_SLOH,0.000
ME,2020-9-2,4,S,NO3NO2_SLOH,0.000
ME,2020-9-2,16,S,NO3NO2_SLOH,0.000
ME,2020-9-2,20,S,NO3NO2_SLOH,0.000
ME,2020-9-18,0,,DRSIF_SLOH,2.700
ME,2020-9-18,4,,DRSIF_SLOH,2.720
ME,2020-9-18,16,,DRSIF_SLOH,4.680
ME,2020-9-18,20,,DRSIF_SLOH,5.220
ME,2020-9-18,0,Q,DRP_SLOH,0.008
ME,2020-9-18,4,Q,DRP_SLOH,0.007
ME,2020-9-18,16,Q,DRP_SLOH,0.348
ME,2020-9-18,20,Q,DRP_SLOH,0.401
ME,2020-9-18,0,S,NO3NO2_SLOH,0.000
ME,2020-9-18,4,S,NO3NO2_SLOH,0.000
ME,2020-9-18,16,S,NO3NO2_SLOH,0.000
ME,2020-9-18,20,S,NO3NO2_SLOH,0.000
ME,2020-10-8,0,,DRSIF_SLOH,2.840
ME,2020-10-8,4,,DRSIF_SLOH,2.590
ME,2020-10-8,16,,DRSIF_SLOH,3.330
ME,2020-10-8,20,,DRSIF_SLOH,5.600
ME,2020-10-8,0,Q,DRP_SLOH,0.020
ME,2020-10-8,4,Q,DRP_SLOH,0.023
ME,2020-10-8,16,Q,DRP_SLOH,0.115
ME,2020-10-8,20,Q,DRP_SLOH,0.451
ME,2020-10-8,0,,NO3NO2_SLOH,0.043
ME,2020-10-8,4,,NO3NO2_SLOH,0.049
ME,2020-10-8,16,S,NO3NO2_SLOH,0.000
ME,2020-10-8,20,S,NO3NO2_SLOH,0.000
ME,2020-11-3,0,,DRSIF_SLOH,2.490
ME,2020-11-3,4,,DRSIF_SLOH,2.470
ME,2020-11-3,16,,DRSIF_SLOH,2.490
ME,2020-11-3,20,,DRSIF_SLOH,2.500
ME,2020-11-3,0,Q,DRP_SLOH,0.077
ME,2020-11-3,4,Q,DRP_SLOH,0.077
ME,2020-11-3,16,Q,DRP_SLOH,0.077
ME,2020-11-3,20,Q,DRP_SLOH,0.080
ME,2020-11-3,0,,NO3NO2_SLOH,0.158
ME,2020-11-3,4,,NO3NO2_SLOH,0.159
ME,2020-11-3,16,,NO3NO2_SLOH,0.174
ME,2020-11-3,20,,NO3NO2_SLOH,0.170
ME,2020-12-10,0,,DRSIF_SLOH,2.750
ME,2020-12-10,4,,DRSIF_SLOH,2.770
ME,2020-12-10,8,,DRSIF_SLOH,2.810
ME,2020-12-10,12,,DRSIF_SLOH,2.720
ME,2020-12-10,16,,DRSIF_SLOH,2.750
ME,2020-12-10,20,,DRSIF_SLOH,2.770
ME,2020-12-10,0,Q,DRP_SLOH,0.096
ME,2020-12-10,4,Q,DRP_SLOH,0.098
ME,2020-12-10,8,Q,DRP_SLOH,0.101
ME,2020-12-10,12,Q,DRP_SLOH,0.098
ME,2020-12-10,16,Q,DRP_SLOH,0.095
ME,2020-12-10,20,Q,DRP_SLOH,0.096
ME,2020-12-10,0,,NO3NO2_SLOH,0.335
ME,2020-12-10,4,,NO3NO2_SLOH,0.327
ME,2020-12-10,8,,NO3NO2_SLOH,0.326
ME,2020-12-10,12,,NO3NO2_SLOH,0.327
ME,2020-12-10,16,,NO3NO2_SLOH,0.331
ME,2020-12-10,20,,NO3NO2_SLOH,0.323
ME,2021-3-3,0,,DRSIF_SLOH,2.350
ME,2021-3-3,4,,DRSIF_SLOH,2.330
ME,2021-3-3,8,,DRSIF_SLOH,2.750
ME,2021-3-3,12,,DRSIF_SLOH,2.900
ME,2021-3-3,20,,DRSIF_SLOH,7.030
ME,2021-3-3,0,Q,DRP_SLOH,0.099
ME,2021-3-3,4,Q,DRP_SLOH,0.100
ME,2021-3-3,8,Q,DRP_SLOH,0.103
ME,2021-3-3,12,Q,DRP_SLOH,0.103
ME,2021-3-3,20,Q,DRP_SLOH,0.180
ME,2021-3-3,0,,NO3NO2_SLOH,0.599
ME,2021-3-3,4,,NO3NO2_SLOH,0.600
ME,2021-3-3,8,,NO3NO2_SLOH,0.645
ME,2021-3-3,12,,NO3NO2_SLOH,0.713
ME,2021-3-3,20,,NO3NO2_SLOH,1.570
ME,2021-4-6,0,,DRSIF_SLOH,0.501
ME,2021-4-6,4,,DRSIF_SLOH,0.595
ME,2021-4-6,0,,DRP_SLOH,0.056
ME,2021-4-6,4,,DRP_SLOH,0.059
ME,2021-4-6,0,,NO3NO2_SLOH,0.941
ME,2021-4-6,4,,NO3NO2_SLOH,0.941
ME,2021-4-22,0,S,DRSIF_SLOH,0.000
ME,2021-4-22,4,S,DRSIF_SLOH,0.000
ME,2021-4-22,20,S,DRSIF_SLOH,0.000
ME,2021-4-22,0,,DRP_SLOH,0.041
ME,2021-4-22,4,,DRP_SLOH,0.035
ME,2021-4-22,20,,DRP_SLOH,0.041
ME,2021-4-22,0,,NO3NO2_SLOH,0.933
ME,2021-4-22,4,,NO3NO2_SLOH,0.937
ME,2021-4-22,20,,NO3NO2_SLOH,0.939
ME,2021-5-6,0,,DRSIF_SLOH,0.453
ME,2021-5-6,4,,DRSIF_SLOH,0.408
ME,2021-5-6,0,,DRP_SLOH,0.063
ME,2021-5-6,4,,DRP_SLOH,0.060
ME,2021-5-6,0,,NO3NO2_SLOH,0.902
ME,2021-5-6,4,,NO3NO2_SLOH,0.927
ME,2021-5-17,0,,DRSIF_SLOH,0.501
ME,2021-5-17,4,,DRSIF_SLOH,0.596
ME,2021-5-17,8,,DRSIF_SLOH,0.599
ME,2021-5-17,12,,DRSIF_SLOH,0.550
ME,2021-5-17,20,,DRSIF_SLOH,1.190
ME,2021-5-17,0,,DRP_SLOH,0.059
ME,2021-5-17,4,,DRP_SLOH,0.057
ME,2021-5-17,8,,DRP_SLOH,0.062
ME,2021-5-17,12,,DRP_SLOH,0.064
ME,2021-5-17,20,,DRP_SLOH,0.101
ME,2021-5-17,0,,NO3NO2_SLOH,0.900
ME,2021-5-17,4,,NO3NO2_SLOH,0.892
ME,2021-5-17,8,,NO3NO2_SLOH,0.888
ME,2021-5-17,12,,NO3NO2_SLOH,0.889
ME,2021-5-17,20,,NO3NO2_SLOH,0.815
ME,2021-6-2,0,,DRSIF_SLOH,0.949
ME,2021-6-2,4,,DRSIF_SLOH,0.981
ME,2021-6-2,0,Q,DRP_SLOH,0.049
ME,2021-6-2,4,Q,DRP_SLOH,0.045
ME,2021-6-2,0,,NO3NO2_SLOH,0.786
ME,2021-6-2,4,,NO3NO2_SLOH,0.794
ME,2021-6-16,0,,DRSIF_SLOH,1.090
ME,2021-6-16,4,,DRSIF_SLOH,1.050
ME,2021-6-16,8,,DRSIF_SLOH,1.230
ME,2021-6-16,12,,DRSIF_SLOH,1.810
ME,2021-6-16,16,,DRSIF_SLOH,2.010
ME,2021-6-16,20,,DRSIF_SLOH,2.930
ME,2021-6-16,0,Q,DRP_SLOH,0.005
ME,2021-6-16,4,Q,DRP_SLOH,0.005
ME,2021-6-16,8,Q,DRP_SLOH,0.044
ME,2021-6-16,12,Q,DRP_SLOH,0.086
ME,2021-6-16,16,Q,DRP_SLOH,0.136
ME,2021-6-16,20,Q,DRP_SLOH,0.230
ME,2021-6-16,0,,NO3NO2_SLOH,0.606
ME,2021-6-16,4,,NO3NO2_SLOH,0.629
ME,2021-6-16,8,,NO3NO2_SLOH,0.818
ME,2021-6-16,12,,NO3NO2_SLOH,0.754
