"year4","Acanthocyclops","Acroperus Harpae","Aglaodiaptomus Clavipes","Alona","Bythotrephes Longimanus","Calanoid","Chaoborus","Chydorus","Copepod Nauplii","Copepodites","Cyclopoid","Daphnia","Daphnia Mendotae","Daphnia Parvula","Daphnia Pulicaria","Daphnia Retrocurva","Diacyclops Thomasi","Diaphanosoma Birgei","Diaptomid","Harpacticoid","Leptodora Kindti","Mesocyclops Edax","Sinobosmina Fryei","Tropocyclops","Tropocyclops Prasinus Mexicanus","tot.zoops","tot.zoops.no.pred"
1995,1.04514311845813,0.0196568961643057,2.61908790797094,0.091817408624382,0,0,0,0.0235885289342875,2.45315654200016,0,0.236360457843681,0.0859034631603849,7.61803275531599,0,17.0554357668933,0.223206794256192,11.8761203788711,0.532519641133768,10.8401694302771,0.0209014302133336,0.127593185540829,1.98046401212829,0.0214232300140892,0,0.0137630912576817,56.8843440390581,56.7567508535172
1996,0.469713072806208,0,2.43053966249841,0,0,1.93119993193684,0,0.0306522481546645,5.19966538217477,0,2.38065850677903,1.59257226056473,1.104924674522,0.169269351724445,51.4486061774599,0,5.62477882594317,0.349221817461894,5.67565390395593,0,0.124602904673891,1.60784443581587,0.0279886033136178,0,0.0691255099115256,80.2370172696969,80.112414365023
1997,0.732779834699174,0,2.56580302447033,0.0332838676340478,0,1.70934922540882,0,0.212282516706261,4.38853536377731,0,6.68045041318123,1.62486875390995,0.175863748256462,0.124082302115693,45.3191552156742,0.177233480591033,2.72423745164578,0.0583966049483792,3.31678604168661,0,0.18961544107533,0.666988112202818,0.0306999938618721,0,0,70.7304113918454,70.54079595077
1998,1.23430503747903,0,1.40154677427889,0.124610731238053,0,2.22785517659144,0,0.0656719207356461,3.31554719393687,0,3.22962432342158,1.48338143179766,0.847176266905187,0,24.7222041756381,0.107945674677231,2.63197568144887,0.856970162254539,5.42046756456396,0,0.374001636025909,2.0132357656075,0.0440581450196219,0,0,50.1005776616201,49.7265760255942
1999,1.31290036100271,0,3.07124212387422,0.0406665821250069,0,4.36511550740147,0,0.588767473929232,8.10205608666752,0,4.17280025523237,2.3065436234858,2.5662933839246,0,42.3952622433983,0.0285005522967862,7.96438962011752,1.19052523973845,7.387532310171,0,0.747985741920443,1.95989119130625,0.037512442418293,0,0,88.23798473901,87.4899989970895
2000,0.505887309869771,0,4.55066840374109,0.0269793326221151,0,0.0835642362902197,0,0.0856795021017997,4.57933233681212,0,0.938697509425245,0.0219679102437033,3.6617229550071,0,24.7072829284084,0.309049736692572,6.59790138978265,0.988820903484928,14.5934153904567,0.0824229858140466,0.217457585139513,2.91428625584462,0.0134405719222757,0,0,64.8785772436588,64.6611196585193
2001,0.292043697358127,0,4.62203007117558,0,0,0,0,0.0200620026088225,1.87459576263108,0,0.485659837244949,0.0648267604153435,5.17341289534484,0.189364874011067,22.4203784195694,0.0785688746650882,4.53348122420178,1.18967027016324,15.0145298976039,0.0235187869554682,0.314434780987181,2.91949401433897,0.00970011730110678,0,0.0911815375210569,59.316953824097,59.0025190431098
2002,0.668439790460226,0,2.68833611299781,0.0412038367341604,0,0.0155690901644879,0,0.0260347352061532,0.996897109120484,0,0.227184408101292,0.078655866525738,1.48381797730133,0,19.2981574274468,0.026886079857759,2.50503100641128,0,11.2965550566262,0.421837317487018,0.113357665901904,0.8002810265488,0.0204787337507546,0,0.205594045328944,40.9143172859711,40.8009596200692
2003,0.243785824037973,0,1.3146216236336,0,0,0.0076559755242391,0,0.0116692369286228,0,0,0.11942166548503,0.912730392363068,0.388162374970176,0.510447766889791,6.54872292974681,0.0648807256995797,0.963746099413258,0.177560269348139,2.87953783039792,0,0.0810407031682184,0.48384067956644,0.0135666414181799,0,0.145770032667278,14.8671607712583,14.7861200680901
2004,0.188523303001348,0,1.61067785446506,0,0,0,0,0.0753570942598807,0,0,0.0672929761378925,0.296553022677926,0.414690211277878,0,10.9355744822907,0,0.89502586688267,0.553774443036734,1.43205767458346,0,0.874419661252141,0.216687602590061,0.412264304965832,0,0,17.9728984974216,17.0984788361694
2005,0.111451536680885,0,2.43995105904729,0,0,0,0,0.0476925189895383,0,0,1.019244397015,0.113926644289218,5.20165476791141,0.299616246419243,60.9697472581417,0.0670757982015402,1.16166240253531,0.256695280686272,0.534419017633569,0,1.25786436404068,0,0.0198887632591772,0,0,73.5008900548509,72.2430256908102
2006,0,0,2.11324853636841,0,0,0,0,0.00934946122216211,0,0,0.981094520335114,2.04407749225523,2.26066279651876,0.70296772914808,28.7739382068864,0,0,0,0,0,0,0,0.0297411162795469,0,0,36.9150798590137,36.9150798590137
2007,0,0,7.23880991672877,0,0,0,0,0.0553877027424378,2.45195346349822,0.364870000694448,0,0.344594485069742,2.06237195821711,4.98551042017719,41.7162790198418,0,0.282557753959601,0.166526478706012,5.85745444316312,0,0.00402498699201779,0,0.0155061423446265,0,0,65.5458467721351,65.5418217851431
2008,0.93804904456047,0,8.40767577459765,0,0,0,0,0.0206381747543782,8.28945432839958,0.209376805144094,0,0.435751008900026,2.17742546807516,0,22.8216234945844,0,3.54369033,0.508372181448102,0,0,0.0139335174555013,0,0.0383261093934311,0,0,47.4043162373128,47.3903827198573
2009,0,0,4.65448991198155,0,36.46537433547,0,0,0.0341925008008249,11.8967735402559,0.154531394717788,0,0,2.36804931863464,0.30612594100033,29.0796704123849,0,0,0.016076193909231,0,0,0.00447023839904583,0,0.0122523866332416,0,0,84.9920061741875,48.5221616003185
2010,0,0,0,0,149.776972865279,0,0,0.0401993926752712,0,0.0530619602113871,0,0,1.93160705919832,0.0633647403918627,6.81895654076475,0.177966450912265,0,0.0116798321863702,0,0,0,0,0.0443496138030448,0,0,158.918158455423,9.14118559014326
2011,0,0,0,0,116.359211291132,0,0,0.0272912256238806,6.46761139009534,1.73563279354869,0,0,23.2066288182447,0,25.924679150097,0,1.01880173092481,0.332918008122618,31.0098298400417,0,0.0142093947345541,0,0.0848298122904388,0,0,206.181643454856,89.8082227689892
2012,0,0,0,0,298.896904412728,0,0,1.34089205660497,0,0.91617706813151,0,0,4.92021403511988,0,68.1481134490203,0,0,1.31448223674728,36.5899726906792,0,0.00718132202553599,0,0.0254974286068773,0,0,412.159434699664,113.25534896491
2013,0,0,0,0,27.8893455684409,0,0,0.0653887008651373,0,0.871006288914368,0,0,2.57941990007331,0,56.279024305954,0,0,0,40.6278335494127,0,0,0,0.0281567636053274,0,0,128.340175077266,100.450829508825
2014,0,0,0,0,98.9579494416594,0,0,0.0759484180597979,0,1.23367132856175,0,0,15.5011999914134,0.416853873064346,2.66028038563878,0,0,0,51.0320328383177,0,0,0,0.0184552534712419,0,0,169.896391530186,70.9384420885271
2015,0,0,0,0,59.2880697538406,0,0,0.0398403257347312,0,2.00559078883658,0,0,28.0100108768711,3.18713048181331,4.92880284652489,0,0,0.00545086961122096,68.1716960839535,0,0,0,0.433616602937806,0,0,166.070208630124,106.782138876283
2016,0,0,0,0,75.5705495669772,0,0,0.038361314330617,0,3.09670580594367,0,0,1.90366806211075,0,82.0059634862583,0.0919700795643454,0,0.0210319508712601,19.3749629249182,0,0,0,0.109789945642034,0,0,182.213003136616,106.642453569639
2017,0.0897327472809536,0,0,0,0.255229141912378,0,0,0.0581105464171278,0,0,0,0,9.11504745633717,0.597685594143979,0.751734426928524,4.27688499841737,0,0.0155735585905845,0,0,0,0,0.0141959351354326,0,0,15.1741944051635,14.9189652632511
2018,0,0,0,0,0.564657047865341,0,111.442740039246,0,0,0,0,0,1.91917751843466,0.0259078643696963,0.425757236333378,0.0715612702331696,0,0.0276500135507503,0,0,0.000187164107048184,0,0.0455264801113482,0,0,114.523164634252,113.958320422279
